ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0671040707,Knock on Wood,Esther Friesner,2000,Simon Spotlight Entertainment
3499234742,Studio 6. Sonderausgabe.,Liza Marklund,2003,Rowohlt Tb.
0345419626,Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,1997,Ballantine Books
0312265441,Ethics and Other Liabilities,Harry Stein,1983,St. Martin's Press
0060120916,"The human situation: Lectures at Santa Barbara, 1959 (A Cass Canfield book)",Aldous Huxley,1977,Harper &amp; Row
0590037102,Wringer,Jerry Spinelli,1998,Scholasitc
0070030081,Electrical and electronics drawing,Charles J Baer,1973,McGraw-Hill
0671255622,LIFE ITSELF,"Francis, Crick",1981,Simon &amp; Schuster
0395366968,Pride of Place: Building the American Dream,Robert A.M. Stern,1988,Landmark Books Intl
0879040556,The Herb Book,John B. Lust,2001,Benedict Lust Publications
0805036253,Against the Grain : The Slightly Eccentric Guide to Living Well Without Gluten or Wheat,Jax Peters Lowell,1996,Owl Books
0425091465,Inside the Green Berets,Charles M. Simpson,1986,Natl Book Network
0866119884,Jungle Book (Great Illustrated Classics),Rudyard Kipling,1994,Playmore Inc. Publishers
0226509559,Call the Next Witness,Philip Mason,1986,University of Chicago Press
0140297790,Speaking with the Angels,Nick Hornby,2001,Penguin Books Ltd
0413724506,Jonathan Harvey Plays: Beautiful Thing/Babies/Boom Bang-A-Bang/Rupert Street Lonely Hearts Club (Methuen Contemporary Dramatists),Jonathan Harvey,1999,Methuen Publishing
0385503024,World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability,Amy Chua,2002,Doubleday Books
0553066978,Eat Me: A Novel,LINDA JAIVIN,1997,Broadway
0553762818,Dark Magic,Angus Wells,1992,Bantam
0062514822,"Interface Culture : How the Digital Medium--from Windows to the Web--Changes the way We Write, Speak",Stephen Johnson,1997,HarperSanFrancisco
0441005942,The Border,Marina Fitch,1999,Ace Books
1859848435,The Age of Insecurity,Larry Elliott,1998,Verso
0061006793,Stone Angels,Mike Jefferies,1994,Harper Mass Market Paperbacks (Mm)
0380585944,Dad,William Wharton,1989,Avon Books
0060230045,Missing Angel Juan,Francesca Lia Block,1993,Harpercollins Juvenile Books
0586207643,Collected Stories 1: Beyond Lies the Wub (The Collected Stories of Philip K Dick),Philip K. Dick,1990,HarperCollins Publishers
0385729693,Akiko and the Alpha Centauri 5000 (Akiko),MARK CRILLEY,2003,Delacorte Books for Young Readers
188164992X,The Simpson Trial in Black and White,Tom Elias,1996,General Publishing Group
0312863349,Valley of the Kings: A Novel of Tutankhamun,Cecelia Holland,1997,Tom Doherty Associates
0553265822,On the Rim of the Mandala,Paul Cook,1987,Bantam Books
0812532120,Escape Plus,Ben Bova,1984,Tor Books (Mm)
038511186X,"\I ain't well--but I sure am better\"": Mutual need therapy""",Jess Lair,1975,Doubleday
1570362777,Level 4: Virus Hunters of the Cdc,Joseph McCormick,1996,Turner Pub
0451408659,You and No Other (Topaz Historical Romance),Suzanne Simmons,1998,Topaz
0373165129,"Alligator Alley (Harlequin American Romance, No 512)",Jenna McKnight,1993,Harlequin
006621369X,Sweet Caroline : Last Child of Camelot,Christopher Andersen,2003,William Morrow
0140556834,Night on Neighborhood Street (Picture Puffins),Eloise Greenfield,1996,Puffin Books
1853263222,The Wordsworth Dictionary of British History (The Wordsworth Collection Reference Library),J. P. Kenyon,1999,NTC/Contemporary Publishing Company
0140512810,Usage and Abusage,Eric Partridge,0,Penguin Putnam~trade
0044409702,Bold in Her Breeches: Women Pirates Across the Ages,Jo Stanley,1996,Rivers Oram Press/Pandora
0763601764,In Every Tiny Grain of Sand: A Child's Book of Prayers and Praise,Reeve Lindbergh,2000,Candlewick Press (MA)
0060282347,The Fairies: Photographic Evidence of the Existence of Another World,Suza Scalora,1999,Joanna Cotler
0762101326,"The Healing Power of Vitamins, Minerals, and Herbs",Reader's Digest,1998,Readers Digest
042507627X,"A Tapestry of Dreams (Jernaeve Chronicles, Vol 1)",Roberta Gellis,1985,Berkley Pub Group
0711208050,Complete Book of Herbs and Spices,Sarah Garland,0,Viking Press Inc
0201106736,As Far As You Can Go Without a Passport: The View from the End of the Road : Comments and Comic Pieces,Tom Bodett,1986,Perseus Press
0446393142,Writing in a Convertible With the Top Down: A Unique Guide for Writers,Christi Killien,1992,Warner Books
0373094639,Dance To The Piper (Silhouette Special Edition),Nora Roberts,1988,Silhouette
0373094752,Skin Deep (Silhouette Special Edition),Nora Roberts,1988,Silhouette
0806520744,Who Killed Kurt Cobain? The Mysterious Death of an Icon,Ian Halperin,1999,Citadel Press
1557820589,Mummy Vanishes: A Mummy Dearest Creepy Hollow Whoooooooodunnit?,Robert Kraus,1988,Little Brown &amp; Co (Jp)
0960464204,Arkansas...Its Land &amp; People,Matt Bradley,1984,Museum of Science and History
0486414272,"Wit and Wisdom of the American Presidents: A Book of Quotations (Dover Thrift Editions,)",Joslyn Pine,2000,Dover Publications
0889841403,Fire Ship,Marianne Brandis,1992,Porcupine's Quill
0448420473,Let's Look at Dinosaurs (Poke &amp; Look Learning),Gina Ingoglia,1999,Grosset &amp; Dunlap
0385095341,Hungry for God,Ralph Martin,1974,Doubleday
0195283309,New Revised Standard Version With Apocrypha,Bruce Manning Metzger,1990,Oxford University Press
0850302889,"Alchemist of the Golden Dawn: The Letters of the Revd W.A. Ayton to F.L. Gardner and Others, 1886-1905 (Roots of the Golden Dawn Series)",W. A. Ayton,1985,Aquarian Press
0130957836,HTML 4.0 CD with JavaScript,Vivian Neou,1998,Prentice Hall PTR
0060443618,The language of argument,Daniel Lamont McDonald,1983,Harper &amp; Row
0340656441,Orthodoxy: 20th Century (Twentieth Century Christian Classics),Chesterton,2000,Trafalgar Square
0060927690,Re-Enchantment of Everyday Life: International Edition,Thomas Moore,1996,HarperCollins Publishers
0060679611,Lamp Unto My Feet,Art Toalston,1997,Harpercollins
0140468374,The New Competitive Runner's Handbook (Penguin Handbooks),Bob Glover,1988,Penguin Books
0151008353,The Blind Man of Seville,Robert Wilson,2003,Harcourt
0394537785,Byzantium: The Early Centuries,John Julius Norwich,1989,Alfred A. Knopf
0738203866,Dematerializing: Taming the Power of Possessions,Jane Hammerslough,2001,Perseus Publishing
0071407995,Of Spirits and Madness : An American Psychiatrist in Africa,Paul R. Linde,2002,McGraw-Hill
0335098622,"Group Process, Group Decision, Group Action (Mapping Social Psychology Series)",Norman Miller,1992,Taylor &amp; Francis Group
3547775078,Am Anfang war die Liebe.,Robin Pilcher,2002,"SchrÃ?Â¶der, MÃ?Â¼nchen"
3596147891,Shalimar.,Rebecca Ryman,2000,"Fischer (Tb.), Frankfurt"
3442350042,Feuer und Stein.,Diana Gabaldon,1998,Blanvalet
0394724534,Return to a Chinese Village (Aventura: The Vintage Library of Contemporary World Literatu),Jan Myrdal,1984,Random House Inc
0140926682,Private Papers,Margaret Forster,1994,Penguin Books Ltd
0860689840,Speaking Out: Black Girls in Britain,Audrey Osler,1989,Time Warner Books UK
0312206399,Healthy Cooking for Kids: Building Blocks for a Lifetime of Good Nutrition,Shelly Null,1999,St. Martin's Griffin
014095144X,The Tao of Pooh/the Te of Piglet,Benjamin Hoff,1994,Penguin Books
0060288906,"The Vile Village (A Series of Unfortunate Events, Book 7)",Lemony Snicket,2001,HarperCollins
0140076190,The Neverending Story,Michael Ende,1984,Penguin USA
0312302592,The Death of the West: How Dying Populations and Immigrant Invasions Imperil Our Country and Civilization,Patrick J. Buchanan,2002,St. Martin's Griffin
0452010373,The Ancient Mediterranean,Michael Grant,1990,Plume Books
0060165413,Mirage: A Novel,Pauline Gedge,1991,Harpercollins
190168041X,Out of Sight,Frank Scott,0,Screenpress Books
0340044098,"Who do you think you are, Charlie Brown?: Selected cartoons from Peanuts every Sunday, vol. 1",Charles M Schulz,1968,Hodder Fawcett
009947560X,Carrot Roots,Jasper Carrott,1986,Arrow
0192833049,The Oxford Book of Japanese Short Stories,Theodore W. Goossen,1997,Oxford University Press
0439295750,Dr. Jekyll and Mr. Hyde: And Other Stories of the Supernatural (Scholastic Classics),Robert Louis Stevenson,2002,Scholastic Paperbacks
0671698680,WARHORSE,Timothy  Zahn,1990,Baen
0352333650,Big Deal (Sapphire),Helen Sandler,1999,Buccaneer Books Inc
0732257174,Zombie field,Mat Schulz,1997,Flamingo
0297816993,Lost Chronicles of the Maya Kings,David Drew,0,Trafalgar Square
0312868383,"The Forever Hero : Dawn for a Distant Earth, The Silent Warrior, In Endless Twilight (Forever Hero)",L. E. Modesitt Jr.,1999,Tor Books
3426871815,Weisheit des ungesicherten Lebens.,Alan W. Watts,2003,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
2070360571,La Religieuse,Denis Diderot,0,Gallimard French
3442761263,Wohlstand und Armut der Nationen. Warum die einen reich und die anderen arm sind.,David S. Landes,2002,Berliner Taschenbuchverlag
8445073346,"Tumbas de Atuan II, Las",Ursula K. Le Guin,2000,Minotauro
0946609691,Porsche 911 in All Its Forms,Chris Harvey,1988,Motorbooks Intl
0789715236,Special Edition Using Microsoft SQL Server 7.0 (Special Edition Using...),Stephen Wynkoop,1999,Pearson Education
1854710060,Vampire Stories,Alan Ryan,1999,Dutton Books
0345371038,Secrets of the Flesh: A Life of Colette (Ballantine Reader's Circle),Judith Thurman,2000,Ballantine Books
044105000X,Bard,Keith Taylor,1981,Ace Books
0345350774,The Only Child Book,Michele Slung,1989,Ballantine Books
0883657961,"Treasury of Great Poems: An Inspiring Collection of the Best-Loved, Most Moving Verse in the English Language",Louis Untermeyer,1994,BBS Publishing Corporation
0670859567,"My First White Friend: Confessions on Race, Love, and Forgiveness",Patricia Raybon,1996,Viking Books
0762100354,"Mammals, Reptiles and Amphibians: North American Wildlife (North American Wildlife)",Readers Digest,1998,Reader's Digest Association
8475098150,Tests Proyectivos Graficos,Emanuel F. Hammer,1998,"Paidos Iberica, Ediciones S. A."
0571173853,Red Mercury Blues (An Artie Cohen Mystery),Reggie Nadelson,1997,Faber and Faber Ltd
0142001333,Ambrose Bierce and the Death of Kings,Oakley Hall,2002,Penguin Books
0373023553,Turbulent Covenent,Jessica Steele,1980,Harlequin Books
0345303717,The Art of Living and Other Stories,John Gardner,1983,Ballantine Books
0938179004,"60-Second Shiatzu: How to Energize, Erase Pain and Conquer Tension in Aone Minute",Eva Shaw,1987,"Mills &amp; Sanderson, Publishers"
0393305562,Thorn in the Starfish: The Immune System and How It Works,Robert S. Desowitz,1988,W W Norton &amp; Co Inc
0396086187,The Woods Hole Cantata: Essays on science and society,Gerald Weissmann,1985,"Dodd, Mead"
0698114213,Black Water,Rachel Anderson,1996,Putnam Publishing Group
1560765682,"The Druid Queen (Forgotten Realms, the Druidhome Trilogy, Book 3)",Douglas Niles,1993,Wizards of the Coast
044022862X,Other Bells for Us to Ring,Robert Cormier,2000,Laurel Leaf Library
0553235729,Dakota (Wagons West),Dana Fuller Ross,1983,Bantam Books
0930330846,The Unsuspected (Library of Crime Classics),Charlotte Armstrong,1988,Independent Pub Group
1879181177,Transforming Your Dragons: Turning Personality Fear Patterns into Personal Power,"Jose, Ph.D. Stevens",1994,Bear &amp; Company
0806523352,Natural Magick: The Essential Witch's Grimoire,Sally Dubats,2002,Citadel Press
8445904116,"Mil y Una Noches, Las - Editors",Anonimo,1997,Editors
0879979232,A Scanner Darkly,Philip Dick,1984,New Amer Library (Mm)
0393314928,In Short: A Collection of Brief Creative Nonfiction,Judith Kitchen,1996,W. W. Norton &amp; Company
0821764403,"Mountain Moonlight (Zebra Bouquet Romances, No 26)",Jane Anderson,1999,Kensington Publishing Corporation
3442728606,Das Zeitalter der Eidechse.,Joseph von Westphalen,2002,Btb Bei Goldmann
2253170895,La Ville des frelons,Patricia Cornwell,1999,LGF
0132422077,Introduction to Formal Specification and Z (2nd Edition),Ben Potter,1996,Prentice Hall PTR
1575664038,Larry North's Slimdown For Life: 21 Days to a Lean and Healthy You,Larry North,1999,Kensington Pub Corp
0688111831,The Palace of Dreams,Ismail Kadare,1993,Harpercollins
3704320862,Bel Ami.,Guy de Maupassant,2000,"Neuer Kaiser V., Klf."
0060461519,Drama with children: Geraldine Brain Siks,Geraldine Brain Siks,1977,Harper &amp; Row
0811828352,Fern House: A Year in an Artist's Garden,Deborah Schenck,2001,Chronicle Books
0883962365,Through Love's Difficult Times We'll Grow Together: A Collection of Poems,Susan Polis Schutz,1985,Blue Mountain Arts
0380976986,A Woman Like That: Lesbian and Bisexual Writers Tell Their Coming Out Stories,Joan Larkin,1999,Avon Books
0044407955,This Is Not for You,Jane Rule,0,Unwin Hyman/ See Routledge
0307627632,A Very Special Critter (Mercer Mayer's Little Critter),Gina Mayer,1993,Golden Books
0330334522,People of the Wolf,Kathleen O'Neal Gear,1994,Tor Books
0660502852,Inuit Stories/Legendes Inuit: Povungnituk,Zebedee Nungak,2001,Canadian Museum of Civilization/Musee Canadie
3802528298,Arktis.,Brando Quilici,2001,Vgs Verlagsges.
0684163403,"A Gathering of Days : A New England Girl's Journal, 1830-1832",Joan W. Blos,1979,Atheneum
0375815376,"So Big! (Sesame Beginnings, Level 2, 6-12 Months)",ANNA JANE HAYS,2003,Random House Books for Young Readers
0451182790,The Marquess,Patricia Rice,1997,Topaz
0060916966,Turbulent Mirror: An Illustrated Guide to Chaos Theory and the Science of Wholeness,John Briggs,1990,Perennial
0851157394,Knights and Warhorses: Military Service and the English Aristocracy under Edward III,Andrew Ayton,1999,Boydell Press
0752208195,"\15-1\"": the Master Challenge (A Channel Four Book)""",John Lewis,1995,Pan Macmillan
0004709950,Jane's Tank &amp; Combat Vehicle Recognition Guide (Jane's Recognition Guides),Christopher F. Foss,1996,HarperResource
0671319590,The Right To Arm Bears,Gordon R. Dickson,2000,Baen
0380771578,Timeswept Bride (An Avon Romantic Treasure),Eugenia Riley,1995,Harper Mass Market Paperbacks (Mm)
1854793500,Wisdom of the Master Cat,Cathy Hopkins,1999,Michael O'Mara Books
0060391189,Spy Sinker: A Novel,Len Deighton,1990,Harpercollins
0345407512,The Argument Culture : Moving from Debate to Dialogue,DEBORAH TANNEN,1999,Ballantine Books
0743487656,Heart of Darkness and the Secret Sharer (Enriched Classics),Joseph Conrad,2004,Pocket
0722534515,Principles of Wicca (Thorsons Principles Series),Vivianne Crowley,1998,Thorsons Publishers
1562828819,Minus Time,Catherine Bush,1993,Hyperion Books
0789203472,The Red Sea Dive Guide,Andrea Ghisotti,1999,Abbeville Press
0374208603,Messages from My Father,Calvin Trillin,1996,Farrar Straus &amp; Giroux
0940642255,"Re Search Bob Flanagan, Super-Masochist (Re/Search People Series)",Bob Flanagan,1993,RE/Search Publications
0886466075,Rumpole and the Judges Elbow/Audio Cassette,John Mortimer,1992,DH Audio
1562010719,Shades of Singapore: Sister Sarah Balfour's Memoirs of Judicial Caning in South Africa,A. Balfour,1994,Blue Moon Books
0787101117,Dragonquest (Super Sound Buys),Anne McCaffrey,1994,Audio Literature
0020715609,SELECTED POEMS AND THREE PLAYS OF WILLIAM BUTLER YEATS,William Butler Yeats,1987,Scribner Paper Fiction
0140586156,Robert Browning: Selected Poetry (The Penguin Poetry Library),Robert Browning,1990,Puffin Books
3596124123,Tausend Morgen.,Jane Smiley,1994,"Fischer (Tb.), Frankfurt"
3548255876,Wie Wilder Wein.,Joanne Harris,2002,Ullstein Tb
0373077238,"One Who Almost Got Away (The Guiness Gang) (Silhouette Intimate Moments, No 723)",Prue Scott,1996,Silhouette
0373074093,"Twilight Shadows (Silhouette Intimate Moments, No. 409)",Emilie Richards,1991,Silhouette
0676972616,Uncle Tungsten : Memories of a Chemical Boyhood,Oliver Sacks,2001,Knopf Canada
0312263805,Prison Writings : My Life Is My Sundance,Leonard Peltier,2000,St. Martin's Griffin
8423953262,Gershwin - Tapa Dura -,Gauthier,1993,"Espasa Calpe Mexicana, S.A."
8477205426,La Magia de La Tierra,Shaw Johnson,1997,Obelisco
3446138110,SÃ?Â¤mtliche Menschen. Ein Mensch. Mensch und Unmensch. Der letzte Mensch.,Eugen Roth,2001,Carl Hanser
2226118330,Ito ou la vengeance du samouraÃ?Â¯,Evelyne Reberg,2001,Albin Michel
0671781707,A separate reality : further conversations with Don Juan,Carlos Castaneda,1972,Pocket Books
0679453024,Shadow Woman,Thomas Perry,1997,Random House Inc
0316030864,Eight Cousins : From the Original Publisher,Louisa May Alcott,1996,"Little, Brown"
055326690X,"Pardon Me, You're Stepping On My Eyeball",PAUL ZINDEL,1993,Bantam
0421726903,Constitutional &amp; Administrative Law Nutcase (Nutcases),M. Spencer,2000,Sweet &amp; Maxwell Ltd
0421767308,Nutcases - Human Rights Law (Nutcases),John Spencer,2002,Sweet &amp; Maxwell Ltd
1850510091,Dictionary of Omens and Superstitions,Philippa Waring,1987,Book Sales
1854312138,Gcse Law,Vivienne Harpwood,1992,Gaunt Inc.
0393979296,"We the People: An Introduction to American Politics, Fourth Edition",Benjamin Ginsberg,2003,W. W. Norton &amp; Company
031032940X,Morning and Evening,Charles H. Spurgeon,1980,Zondervan
0312966687,Night at the Vulcan (Dead Letter Mystery),Ngaio Marsh,1998,St. Martin's Press
0515130176,"Slocum and the Lakota Lady (Slocum, 264)",Jake Logan,2001,Jove Books
0198128169,The Oxford Illustrated History of English Literature,Pat Rogers,1987,Oxford University Press
0434239011,Complete Guide to Modern Cookery,Auguste Escoffier,1985,Van Nostrand Reinhold (Sd)
0671631799,WOMEN &amp; FATIGUE,Deborah Turrell Atkinson,1987,Pocket
039576341X,Eastern Standard Time : A Guide to Asian Influence on American Culture from Astro Boy to Zen Buddhism,Jeff Yang,1997,Houghton Mifflin
0439079462,The Hallo-Wiener,Dav Pilkey,1999,Scholastic
0915943158,Bad Government and Silly Literature,Carol Bly,1986,Bookslinger
0192835440,The Bride of Lammermoor (Oxford World's Classics),Sir Walter Scott,1998,Oxford University Press
0394620011,Evergreen Review No. 98 (Evergreen Review),Barney Rosset,1984,Grove/Atlantic
0764501127,JavaScript for Dummies Quick Reference,Emily A. Vander  Veer,1997,For Dummies
0918526736,Isabella Gardner: The Collected Poems (American Poets Continuum Series ; Vol. 18),Isabella Gardner,1990,BOA Editions
0020404417,"When Sniglets Ruled the Earth (Snig'lit : Any Word That Doesn't Appear in the Dictionary, But Should)",Rich Hall,1989,Simon &amp; Schuster
0385194056,Fort Privilege,Kit Reed,1985,Doubleday Books
0439567629,"Harry Potter and the Order of the Phoenix (Book 5, Deluxe Edition)",J. K. Rowling,2003,Scholastic
3423300817,Der ferne Spiegel. Das dramatische 14. Jahrhundert.,Barbara Tuchman,1982,Dtv
1858498163,A Suitable Boy,Vikram Seth,1994,Polygram Spoken Word
0374109648,Becoming Modern: The Life of Mina Loy,Carolyn Burke,1996,Farrar Straus &amp; Giroux
0007143907,Shrinking Violet,Jean Ure,2002,Collins
2253049980,Les enfants de Salonique,Bernard Lenteric,1989,LGF
051788500X,Compassion in Action : Setting Out on the Path of Service,RAM DASS,1995,Three Rivers Press
0060158735,Greater Nowheres: A Journey Through the Australian Bush,Dave Finkelstein,1990,Bookthrift Co
0345460367,"The Integral Trees and the Smoke Ring: And, the Smoke Ring",Larry Niven,2003,Del Rey Books
0275337405,"Moses, the man and his vision",David Daiches,1975,Praeger
0876054718,Dog Training in 10 Minutes (Howell Reference Books),Carol Lea  Benjamin,1996,Howell Book House
1900924498,Marillion: Separated Out : The Complete History 1979-2002,Jon Collins,2003,Helter Skelter Publishing
0874830982,"A Field Guide to Southern Speech: A Twelve-Gauge Lexicon for the Duck Blind, the Deer Stand, the Skeet Shoot, the Bass Boat, and the Backyard Barbec",Charles Nicholson,1989,August House Publishers
0553572628,Days of Air and Darkness (Deverry),Katharine Kerr,1995,Bantam
0394587847,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",Lewis Grizzard,1990,Random House Trade
0321091965,"The American Story, Vol. 1: Chapters 1-16 (Penguin Academic Series)",Robert A. Divine,2001,Longman
8450547911,Flora y vegetaciÃ³n de la Sierra de Guara: Prepirineo aragonÃ©s (Naturaleza en AragÃ³n),Josep Ma Montserrat i MartÃ­,1986,"DiputaciÃ³n General de AragÃ³n, Departamento de Agricultura, Ganaderia y Montes"
1584856572,Angelinas Baby Sister,Katharine Holabird,2002,Pleasant Company Publications
0316109215,Arthur's New Puppy : An Arthur Adventure (Arthur Adventure Series),Marc Brown,1995,"Little, Brown"
0393321320,Ants at Work: How an Insect Society is Organized,Deborah M. Gordon,2000,W.W. Norton &amp; Company
1575251450,"Ibsen: Four Plays, Vol. 3",Henrik Ibsen,1998,Smith &amp; Kraus
1563523825,Your Personal Guide to Living Well With Fibromyalgia,Arthritis Foundation,1997,Longstreet Press
0373872690,Adam's Promise,Gail Gaymer Martin,2004,Steeple Hill
044001266X,A child is born: New photographs of life before birth and up-to-date advice for expectant parents,Lennart Nilsson,1977,Delacorte Press/S. Lawrence
037344141X,"One Fine Prey / Two Catch a Fox (Duets, 75)",Isabel Sharpe,2002,Harlequin
0373099959,"Logan'S Bride (Holiday Elopement, The Whitaker Brides) (Silhouette Special Edition, No 995)",Michael Flynn,1995,Silhouette
3423102500,"Phare, Passanten",Botho Strauss,1997,Deutscher Taschenbuch Verlag (DTV)
0060188901,Enough Rope,Lawrence Block,2002,William Morrow
1550170481,Fishing With John,Edith Iglauer,1992,Harbour Publishing
0895946688,Glibquips: Funny Words by Funny Women,Roz Warren,1994,Ten Speed Pr
0805421475,Brenda's Gift: A Novel,Cynthia Yates,2000,Broadman &amp; Holman Publishers
0718001702,I Can Only Imagine : Mercy Me with Jeff Kinley,Mercyme,2002,Nelson Bibles
1579544290,No Need for Speed : A Beginner's Guide to the Joy of Running,John Bingham,2002,Rodale Books
0060167408,Searoad: Chronicles of Klatsand,Ursula K. Le Guin,1991,Harpercollins
0441066615,Black Vulmea's Vengeance,Robert E. Howard,1987,Ace Books
0340545976,Warden of the Queen's March (Coronet Books),Nigel Tranter,1997,Trafalgar Square Publishing
0312186436,Opium: A History,Martin Booth,1998,St Martins Pr
0747530386,Paradise Fever: Dispatches from the Dawn of the New Age,Ptolemy Tompkins,1997,Bloomsbury Publishing Plc
0821758586,Tempting Fate,Meryl Sawyer,1998,Zebra Books
0812502493,"Sister Light, Sister Dark",Jane Yolen,1989,Tor Books
0743224558,"Your Older Cat : A Complete Guide to Nutrition, Natural Health Remedies, and Veterinary Care",Susan Easterly,2002,Fireside
0261666517,British and Irish mythology: An encyclopedia of myth and legend,Caitlin Matthews,1995,Diamond Books
0786881550,Ballet 101: A Complete Guide to Learning and Loving the Ballet,Robert Greskovic,1998,Hyperion
0718135334,Peace Work,Spike Milligan,1991,Michael Joseph
0373074514,"Black Tree Moon (Silhouette Intimate Moments, 451)",Kathleen Eagle,1992,Silhouette
0060219602,Hurray for Hattie Rabbit: Story and pictures (An Early I can read book),Dick Gackenbach,1986,Harper &amp; Row
0590404083,"The Day the Eighth Grade Ran the School (Junior High, No 3)",Kate Kenyon,1987,Scholastic
0679759409,Companero: The Life and Death of Che Guevara,Jorge G. Castaneda,1998,Vintage Books USA
0028642260,The Complete Idiot's Guide(R) to Evolution,Leslie Alan Horvitz,2001,Penguin Putnam
0942320263,Barbeque: Sizzling fireside know-how (The Collector's series),Leslie Bloom,1987,American Cooking Guild
0803294069,Billy the Kid: A Handbook,Jon Tuska,1986,Univ of Nebraska Pr
0786830204,The Three Orphan Kittens,Margaret Wise Brown,1995,Disney Press
0679722432,"The Decay of the Angel (Sea of Fertility, 4)",Yukio Mishima,1990,Vintage Books USA
0553487167,Transformation (Replica No. 15),Marilyn Kaye,2000,Skylark Books
0786220392,East of the Mountains (Thorndike Large Print General Series),David Guterson,2000,Thorndike Press
0091876044,WHO MOVED MY CHEESE S.S.,S JOHNSON,1999,Vintage/Ebury (A Division of Random House Group)
009182947X,The night Tolkien died,Nadia Wheatley,1995,Random House Australia
0340803258,Teach Yourself Basic Mathematics (Teach Yourself),Alan Graham,2001,Hodder &amp; Stoughton General Division
0425095932,The Kama Sutra of Vatsayana,Sir Richard Burton,1995,Berkley Publishing Group
0192831305,The Grasmere Journals,Dorothy Wordsworth,1993,Oxford University Press
0312121903,Jane Austen: A Literary Life (Literary Lives Series),Jan S. Fergus,1994,Palgrave Macmillan
0786862238,Disney A to Z : The Official Encyclopedia,David Smith,1996,Disney Editions
0525467815,Winnie-The-Pooh and Some Bees (Dutton Easy Reader),A. A. Milne,2001,Penguin Putnam Books for Young Readers
0590255185,First Ladies: Women Who Called the White House Home,Beatrice Gormley,1997,Scholastic Paperbacks
0312613954,A planet called Treason,Orson Scott Card,1979,St. Martin's Press
059600348X,Windows XP Pro: The Missing Manual,David Pogue,2003,Pogue Press
0789708884,Perl 5 Quick Reference (Quick Reference Series),Michael O. Foghlu,1996,Que
0764508563,VBA for Dummies,Steve Cummings,2001,For Dummies
0596002726,"Running Linux, Fourth Edition",Matt Welsh,2002,O'Reilly
078971079X,Special Edition Using Jscript,Mark Reynolds,1996,Que
0819309648,Socks for Supper,Jack Kent,1987,Parents Magazine Press
0380537516,Don't Tell Me Your Name,Hollis Hodges,1981,Avon
0862815517,"Table Graces (Sayings, Quotations, Proverbs)",D.S. Baker,1995,Appletree Press
0930031113,Permanent New Yorkers: A Biographical Guide to the Cemeteries of New York,Judi Culbertson,1987,Chelsea Green Pub Co
0803707029,Bunnies at Christmastime,Amy Ehrlich,1989,Dial Books
0590415352,The Candy Witch,Steven Kroll,1988,Scholastic
0802400086,Treasures of the Snow,Patricia St. John,1950,Moody Pr
0451518497,"20,000 Leagues Under the Sea / By Jules",Jules Verne,1982,Signet Book
0425073009,Persistence of Vision,John Varley,1984,Berkley Publishing Group
0312856660,The Remake: As Time Goes by,Stephen Humphrey Bogart,1997,St Martins Pr
0671694014,"The MYSTERIOUS IMAGE NANCY DREW #74 (Nancy Drew, No 74)",Carolyn Keene,1990,Aladdin
1556613849,"Mandie and the Buried Stranger (Mandie Book, 31)",Lois Gladys Leppard,1999,Bethany House Publishers
0826468500,Dignity of Difference: How to Avoid the Clash of Civilizations,Jonathan Sacks,2003,Continuum International Publishing Group
0373611056,"Countdown To Chaos (Executioner, No 105)",Don Pendleton,1987,Gold Eagle
0439216648,Let's Find Digimon (Digimon (Scholastic Paperback)),Ellen Sullivan,2000,Scholastic
0060568488,Mary-Kate &amp; Ashley: Our Story--Updated edition : The Official Biography,Mary-Kate &amp; Ashley Olsen,2003,HarperEntertainment
0345379748,Between Heaven and Earth: A Guide to Chinese Medicine,Harriet Beinfield,1992,Ballantine Books
3421056072,Zeiten des Aufruhrs.,Richard Yates,2002,Dva
3442449154,Tohuwabohu. Roman.,Tom Sharpe,2002,Goldmann
2038711038,L' Illusion Comique,Corneille,1993,Editions Larousse
2715812647,La PensÃ?Â©e straight,Monique Wittig,2001,Balland
2277239755,Aux confins de l'Ã?Â©trange,Connie Willis,1995,J'ai lu
2743600217,Et ne cherche pas Ã?Â  savoir,Marc Behm,1996,Rivages
3446218718,European Quality Award. Praktische Tipps zur Anwendung des EFQM- Modells,Philipp Radtke,2002,Hanser Fachbuch
0006705294,Living Free: Elsa and Her Cubs,Joy Adamson,1979,HarperCollins Publishers
3429017033,ErfÃ?Â¼llt von Gottes Licht. Eine SpiritualitÃ?Â¤t des Alltags.,Piet van Breemen,1995,Echter
0586057927,The Dreamer's Dictionary: The Complete Guide to Interpreting Your Dreams,Stearn Robinson,1986,HarperCollins Publishers
0373026463,Carvers Bride,Author Unknown,1984,Harlequin
0373026056,Deeper Dimension,Author Unknown,1984,Harlequin
3442430488,Helle Barden. Ein Roman von der bizarren Scheibenwelt.,Terry Pratchett,1996,Goldmann
8408014692,"Muera la inteligencia! Viva la muerte!: Salamanca, 1936, Unamuno y MillÃ¡n Astray frente a frente (Memoria de la historia)",Carlos Rojas,1995,Planeta
